Class,Group,Genus
Anthozoa,Anthozoa_other,Isophyllastrea
Anthozoa,Anthozoa_other,Isophyllia
Anthozoa,Anthozoa_other,Latomeandra
Anthozoa,Anthozoa_other,Leptomussa
Anthozoa,Anthozoa_other,Lithophyllia
Anthozoa,Anthozoa_other,Lithophyllon
Anthozoa,Anthozoa_other,Lobophyllia
Anthozoa,Anthozoa_other,Madracis
Anthozoa,Anthozoa_other,Merulina
Anthozoa,Anthozoa_other,Micromussa
Anthozoa,Anthozoa_other,Montlivaltia
Anthozoa,Anthozoa_other,Mussa
Anthozoa,Anthozoa_other,Mussismilia
Anthozoa,Anthozoa_other,Mycedium
Anthozoa,Anthozoa_other,Mycetophyllia
Anthozoa,Anthozoa_other,Nerthastraea
Anthozoa,Anthozoa_other,Orbignygyra
Anthozoa,Anthozoa_other,Oxypora
Anthozoa,Anthozoa_other,Palaeoplesiastraea
Anthozoa,Anthozoa_other,Palauastrea
Anthozoa,Anthozoa_other,Paraplacocoenia
Anthozoa,Anthozoa_other,Peplosmilia
Anthozoa,Anthozoa_other,Pindosmilia
Anthozoa,Anthozoa_other,Pironastrea
Anthozoa,Anthozoa_other,Placosmilia
Anthozoa,Anthozoa_other,Placosmiliopsis
Anthozoa,Anthozoa_other,Platycoenia
Anthozoa,Anthozoa_other,Plerogyra
Anthozoa,Anthozoa_other,Podabacia
Anthozoa,Anthozoa_other,Porites
Anthozoa,Anthozoa_other,Progyrosmilia
Anthozoa,Anthozoa_other,Psammocora
Anthozoa,Anthozoa_other,Pseudosiderastrea
Anthozoa,Anthozoa_other,Rennensismilia
Anthozoa,Anthozoa_other,Rhabdophyllia
Anthozoa,Anthozoa_other,Sandalolitha
Anthozoa,Anthozoa_other,Scalariogyra
Anthozoa,Anthozoa_other,Scolymia
Anthozoa,Anthozoa_other,Siderastrea
Anthozoa,Anthozoa_other,Siderofungia
Anthozoa,Anthozoa_other,Sideroseris
Anthozoa,Anthozoa_other,Stelidioseris
Anthozoa,Anthozoa_other,Stephanocoenia
Anthozoa,Anthozoa_other,Stylangia
Anthozoa,Anthozoa_other,Stylocoenia
Anthozoa,Anthozoa_other,Stylocoeniella
Anthozoa,Anthozoa_other,Symphyllia
Anthozoa,Anthozoa_other,Syzygophyllia
Anthozoa,Anthozoa_other,Thamnasteria
Anthozoa,Anthozoa_other,Thegioastraea
Anthozoa,Anthozoa_other,Tortoflabellum
Anthozoa,Anthozoa_other,Trachyphyllia
Anthozoa,Anthozoa_other,Trochosmilia
Anthozoa,Anthozoa_other,Zoopilus
Bivalvia,Bivalvia_Anomalodesmata,Brechites
Bivalvia,Bivalvia_Anomalodesmata,Clavagella
Bivalvia,Bivalvia_Anomalodesmata,Cochlodesma
Bivalvia,Bivalvia_Anomalodesmata,Eximiothracia
Bivalvia,Bivalvia_Anomalodesmata,Haliris
Bivalvia,Bivalvia_Anomalodesmata,Lyonsia
Bivalvia,Bivalvia_Anomalodesmata,Margaritaria
Bivalvia,Bivalvia_Anomalodesmata,Myadora
Bivalvia,Bivalvia_Anomalodesmata,Pandora
Bivalvia,Bivalvia_Anomalodesmata,Pecchiolia
Bivalvia,Bivalvia_Anomalodesmata,Penicillus
Bivalvia,Bivalvia_Anomalodesmata,Periploma
Bivalvia,Bivalvia_Anomalodesmata,Stirpulina
Bivalvia,Bivalvia_Anomalodesmata,Thracia
Bivalvia,Bivalvia_Anomalodesmata,Thraciopsis
Bivalvia,Bivalvia_Anomalodesmata,Verticordia
