class_name,order_name,genus,LAD,EXTANT,FALSE.EXT
(blank),(blank),Helicosphaera,3.6,1,0
(blank),(blank),Hemiaulus,11.62,0,0
(blank),(blank),Hemipleurotoma,20.44,0,0
(blank),(blank),Hemirobulina,20.44,1,1
(blank),(blank),Heteraulacacysta,2.588,0,0
(blank),(blank),Heterolepa,1.806,1,0
(blank),(blank),Heterosorex,13.65,0,0
(blank),(blank),Heterostegina,0.0123,1,0
(blank),(blank),Hexaplex,0.0117,0,0
(blank),(blank),Hexaprotodon,0.0117,0,0
(blank),(blank),Hispanomys,5.333,0,0
(blank),(blank),Histiophorus,7.246,0,0
(blank),(blank),Histrionicus,0.0117,1,0
(blank),(blank),Hochstetteria,15.9,1,1
(blank),(blank),Hoeglundina,3.6,1,0
(blank),(blank),Homotrema,0.0117,1,0
(blank),(blank),Hyalinea,0.0117,1,0
(blank),(blank),Hyalinonetrion,12.4,0,0
(blank),(blank),Hyalodiscus,2.588,0,0
(blank),(blank),Impagidinium,2.588,0,0
(blank),(blank),Interchlamys,2.588,0,0
(blank),(blank),Iriartites,5.333,0,0
(blank),(blank),Islandiella,0.0117,1,0
(blank),(blank),Karreriella,0.126,1,0
(blank),(blank),Kummelonautilus,15.97,0,0
(blank),(blank),Kunihirella,11.62,0,0
(blank),(blank),Laevicardium,5.333,0,0
(blank),(blank),Laevidentalina,20.44,1,1
(blank),(blank),Lagena,0.0117,1,0
(blank),(blank),Lagenodosaria,0.0117,0,0
(blank),(blank),Lagenoglandulina,15.9,0,0
(blank),(blank),Lamarckina,0.0117,1,0
(blank),(blank),Lantanotherium,11.62,0,0
(blank),(blank),Lanthanotherium,13.6,0,0
(blank),(blank),Lartetium,15.97,0,0
(blank),(blank),Laryngosigma,0.0117,0,0
(blank),(blank),Lates,11.62,1,1
(blank),(blank),Laticarinina,2.588,1,0
(blank),(blank),Latrius,0.121,0,0
(blank),(blank),Lenticulina,0.0117,1,0
(blank),(blank),Lepidocyclina,11.608,0,0
(blank),(blank),Lepidosemicyclina,15.97,0,0
(blank),(blank),Lepilucina,5.333,0,0
